case_tag,source_tag,binning_tag,fit_mode,state,rapidity,source_file,output_file,n_weight_bins
local260505_2exp_everyOther_linear,local260505_2exp,everyOther,linear,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_everyOther_linear/ratioDataMC_AA_Jpsi_DATA_fwd.root,3
local260505_2exp_everyOther_poly2,local260505_2exp,everyOther,poly2,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_everyOther_poly2/ratioDataMC_AA_Jpsi_DATA_fwd.root,3
local260505_2exp_everyOther_expoConst,local260505_2exp,everyOther,expoConst,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_everyOther_expoConst/ratioDataMC_AA_Jpsi_DATA_fwd.root,3
local260505_2exp_everyOther_doubleExp,local260505_2exp,everyOther,doubleExp,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_everyOther_doubleExp/ratioDataMC_AA_Jpsi_DATA_fwd.root,3
local260505_2exp_coarse3_linear,local260505_2exp,coarse3,linear,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_coarse3_linear/ratioDataMC_AA_Jpsi_DATA_fwd.root,2
local260505_2exp_coarse3_poly2,local260505_2exp,coarse3,poly2,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_coarse3_poly2/ratioDataMC_AA_Jpsi_DATA_fwd.root,2
local260505_2exp_coarse3_expoConst,local260505_2exp,coarse3,expoConst,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_coarse3_expoConst/ratioDataMC_AA_Jpsi_DATA_fwd.root,2
local260505_2exp_coarse3_doubleExp,local260505_2exp,coarse3,doubleExp,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_coarse3_doubleExp/ratioDataMC_AA_Jpsi_DATA_fwd.root,2
local260505_2exp_nominal_linear,local260505_2exp,nominal,linear,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_linear/ratioDataMC_AA_BtoJpsi_DATA_mid.root,7
local260505_2exp_nominal_poly2,local260505_2exp,nominal,poly2,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_poly2/ratioDataMC_AA_BtoJpsi_DATA_mid.root,7
local260505_2exp_nominal_expoConst,local260505_2exp,nominal,expoConst,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_expoConst/ratioDataMC_AA_BtoJpsi_DATA_mid.root,7
local260505_2exp_nominal_doubleExp,local260505_2exp,nominal,doubleExp,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_doubleExp/ratioDataMC_AA_BtoJpsi_DATA_mid.root,7
local260505_2exp_mergeLow_linear,local260505_2exp,mergeLow,linear,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_linear/ratioDataMC_AA_BtoJpsi_DATA_mid.root,6
local260505_2exp_mergeLow_poly2,local260505_2exp,mergeLow,poly2,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_poly2/ratioDataMC_AA_BtoJpsi_DATA_mid.root,6
local260505_2exp_mergeLow_expoConst,local260505_2exp,mergeLow,expoConst,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_expoConst/ratioDataMC_AA_BtoJpsi_DATA_mid.root,6
local260505_2exp_mergeLow_doubleExp,local260505_2exp,mergeLow,doubleExp,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_doubleExp/ratioDataMC_AA_BtoJpsi_DATA_mid.root,6
